lower,upper,quantity,interval,growth_rate_hr,condition,replicate,source
3.7754175,4.5932474999999995,sav_ppc,50%,2.272564591054877,LB,2.0,This Study
3.868673,4.497376,sav_ppc,40%,2.272564591054877,LB,2.0,This Study
3.9500125,4.4118,sav_ppc,30%,2.272564591054877,LB,2.0,This Study
4.033536,4.331408000000001,sav_ppc,20%,2.272564591054877,LB,2.0,This Study
4.1088,4.255404,sav_ppc,10%,2.272564591054877,LB,2.0,This Study
4.1821850000000005,4.1821850000000005,sav_ppc,median,2.272564591054877,LB,2.0,This Study
6.8855255,7.6348227500000005,sav,95%,0.3537727536958663,acetate,1.0,This Study
6.9514165,7.566372,sav,90%,0.3537727536958663,acetate,1.0,This Study
7.021631,7.492673000000001,sav,80%,0.3537727536958663,acetate,1.0,This Study
7.0688125,7.444669,sav,70%,0.3537727536958663,acetate,1.0,This Study
7.0772068,7.4364328,sav,68%,0.3537727536958663,acetate,1.0,This Study
7.106928,7.408474,sav,60%,0.3537727536958663,acetate,1.0,This Study
7.1378275,7.376307499999999,sav,50%,0.3537727536958663,acetate,1.0,This Study
7.164288,7.350238,sav,40%,0.3537727536958663,acetate,1.0,This Study
7.18907,7.3249935,sav,30%,0.3537727536958663,acetate,1.0,This Study
7.2124559999999995,7.301154,sav,20%,0.3537727536958663,acetate,1.0,This Study
7.2348655,7.2790235,sav,10%,0.3537727536958663,acetate,1.0,This Study
7.25711,7.25711,sav,median,0.3537727536958663,acetate,1.0,This Study
7.0396155,7.80568275,sav,95%,0.3851859922434523,acetate,2.0,This Study
7.1069865,7.735702,sav,90%,0.3851859922434523,acetate,2.0,This Study
7.178762,7.660353000000001,sav,80%,0.3851859922434523,acetate,2.0,This Study
7.2270025,7.6112705,sav,70%,0.3851859922434523,acetate,2.0,This Study
7.2355868,7.6028544,sav,68%,0.3851859922434523,acetate,2.0,This Study
7.26597,7.574263999999999,sav,60%,0.3851859922434523,acetate,2.0,This Study
7.2975675,7.54138,sav,50%,0.3851859922434523,acetate,2.0,This Study
7.324618,7.514728,sav,40%,0.3851859922434523,acetate,2.0,This Study
7.3499565,7.48892,sav,30%,0.3851859922434523,acetate,2.0,This Study
7.373866,7.46455,sav,20%,0.3851859922434523,acetate,2.0,This Study
7.3967754999999995,7.4419235,sav,10%,0.3851859922434523,acetate,2.0,This Study
7.4195150000000005,7.4195150000000005,sav,median,0.3851859922434523,acetate,2.0,This Study
6.37714575,7.0711224999999995,sav,95%,0.608803125485576,sorbitol,2.0,This Study
6.4381765,7.007722,sav,90%,0.608803125485576,sorbitol,2.0,This Study
6.503202,6.939463000000001,sav,80%,0.608803125485576,sorbitol,2.0,This Study
6.5468925,6.894999,sav,70%,0.608803125485576,sorbitol,2.0,This Study
6.5546768,6.8873812,sav,68%,0.608803125485576,sorbitol,2.0,This Study
6.5822,6.861484,sav,60%,0.608803125485576,sorbitol,2.0,This Study
6.6108175000000005,6.8316875,sav,50%,0.608803125485576,sorbitol,2.0,This Study
6.635328,6.807545,sav,40%,0.608803125485576,sorbitol,2.0,This Study
6.6582765,6.7841635,sav,30%,0.608803125485576,sorbitol,2.0,This Study
6.679936,6.762084,sav,20%,0.608803125485576,sorbitol,2.0,This Study
6.7006955,6.741589,sav,10%,0.608803125485576,sorbitol,2.0,This Study
6.72129,6.72129,sav,median,0.608803125485576,sorbitol,2.0,This Study
6.41337575,7.1112925,sav,95%,0.6189821322967243,sorbitol,1.0,This Study
6.474747,7.047532,sav,90%,0.6189821322967243,sorbitol,1.0,This Study
6.5401419999999995,6.978883000000001,sav,80%,0.6189821322967243,sorbitol,1.0,This Study
6.584084,6.9341705000000005,sav,70%,0.6189821322967243,sorbitol,1.0,This Study
6.5919068,6.926502800000001,sav,68%,0.6189821322967243,sorbitol,1.0,This Study
6.6195900000000005,6.9004639999999995,sav,60%,0.6189821322967243,sorbitol,1.0,This Study
6.6483775000000005,6.8704975,sav,50%,0.6189821322967243,sorbitol,1.0,This Study
6.673020999999999,6.846215,sav,40%,0.6189821322967243,sorbitol,1.0,This Study
6.6961,6.8227035,sav,30%,0.6189821322967243,sorbitol,1.0,This Study
6.717886,6.8005,sav,20%,0.6189821322967243,sorbitol,1.0,This Study
6.7387555,6.779889,sav,10%,0.6189821322967243,sorbitol,1.0,This Study
6.759475,6.759475,sav,median,0.6189821322967243,sorbitol,1.0,This Study
6.37839575,7.0725125,sav,95%,0.6323276248776727,glycerol,2.0,This Study
6.439437,7.009102,sav,90%,0.6323276248776727,glycerol,2.0,This Study
6.504473,6.940823000000001,sav,80%,0.6323276248776727,glycerol,2.0,This Study
6.5481825,6.896359,sav,70%,0.6323276248776727,glycerol,2.0,This Study
6.5559568,6.8887328000000005,sav,68%,0.6323276248776727,glycerol,2.0,This Study
6.58349,6.862832,sav,60%,0.6323276248776727,glycerol,2.0,This Study
6.6121175,6.83303,sav,50%,0.6323276248776727,glycerol,2.0,This Study
6.6366309999999995,6.808885,sav,40%,0.6323276248776727,glycerol,2.0,This Study
6.6595865,6.7854935,sav,30%,0.6323276248776727,glycerol,2.0,This Study
6.681252,6.763414,sav,20%,0.6323276248776727,glycerol,2.0,This Study
6.70201,6.7429135,sav,10%,0.6323276248776727,glycerol,2.0,This Study
6.722614999999999,6.722614999999999,sav,median,0.6323276248776727,glycerol,2.0,This Study
6.52384575,7.2337825,sav,95%,0.6737871653670506,glycerol,1.0,This Study
6.586277,7.168932,sav,90%,0.6737871653670506,glycerol,1.0,This Study
6.652801999999999,7.099093000000001,sav,80%,0.6737871653670506,glycerol,1.0,This Study
6.697502500000001,7.053619,sav,70%,0.6737871653670506,glycerol,1.0,This Study
6.7054568,7.0458128,sav,68%,0.6737871653670506,glycerol,1.0,This Study
6.73362,7.019323999999999,sav,60%,0.6737871653670506,glycerol,1.0,This Study
6.7628975,6.9888475,sav,50%,0.6737871653670506,glycerol,1.0,This Study
6.787968,6.964145,sav,40%,0.6737871653670506,glycerol,1.0,This Study
6.81144,6.9402235,sav,30%,0.6737871653670506,glycerol,1.0,This Study
6.833602,6.91764,sav,20%,0.6737871653670506,glycerol,1.0,This Study
6.8548355,6.8966735,sav,10%,0.6737871653670506,glycerol,1.0,This Study
6.875909999999999,6.875909999999999,sav,median,0.6737871653670506,glycerol,1.0,This Study
6.8077255,7.54855275,sav,95%,0.7000527193406471,glucose+acetate,2.0,This Study
6.8728765,7.480882,sav,90%,0.7000527193406471,glucose+acetate,2.0,This Study
6.942292,7.408013,sav,80%,0.7000527193406471,glucose+acetate,2.0,This Study
6.988932500000001,7.360549,sav,70%,0.7000527193406471,glucose+acetate,2.0,This Study
6.9972368,7.352412800000001,sav,68%,0.7000527193406471,glucose+acetate,2.0,This Study
7.02662,7.324764,sav,60%,0.7000527193406471,glucose+acetate,2.0,This Study
7.0571775,7.29296,sav,50%,0.7000527193406471,glucose+acetate,2.0,This Study
7.083338,7.2671850000000004,sav,40%,0.7000527193406471,glucose+acetate,2.0,This Study
7.10784,7.2422235,sav,30%,0.7000527193406471,glucose+acetate,2.0,This Study
7.130962,7.21866,sav,20%,0.7000527193406471,glucose+acetate,2.0,This Study
7.1531155,7.1967735,sav,10%,0.7000527193406471,glucose+acetate,2.0,This Study
7.17511,7.17511,sav,median,0.7000527193406471,glucose+acetate,2.0,This Study
6.41558575,7.1137524999999995,sav,95%,0.853688624955644,glucose+acetate,1.0,This Study
6.476987,7.049972,sav,90%,0.853688624955644,glucose+acetate,1.0,This Study
6.542402,6.981293000000001,sav,80%,0.853688624955644,glucose+acetate,1.0,This Study
6.5863625,6.9365689999999995,sav,70%,0.853688624955644,glucose+acetate,1.0,This Study
6.5941868,6.9289012,sav,68%,0.853688624955644,glucose+acetate,1.0,This Study
6.62188,6.902844,sav,60%,0.853688624955644,glucose+acetate,1.0,This Study
6.650675000000001,6.87287,sav,50%,0.853688624955644,glucose+acetate,1.0,This Study
6.675328,6.848585,sav,40%,0.853688624955644,glucose+acetate,1.0,This Study
6.6984164999999996,6.8250635,sav,30%,0.853688624955644,glucose+acetate,1.0,This Study
6.720212,6.80285,sav,20%,0.853688624955644,glucose+acetate,1.0,This Study
6.7410855,6.782229,sav,10%,0.853688624955644,glucose+acetate,1.0,This Study
6.7618100000000005,6.7618100000000005,sav,median,0.853688624955644,glucose+acetate,1.0,This Study
6.0249060000000005,6.68055225,sav,95%,0.859140850644779,glucose,1.0,This Study
6.082567,6.620652000000001,sav,90%,0.859140850644779,glucose,1.0,This Study
6.143993,6.556163000000001,sav,80%,0.859140850644779,glucose,1.0,This Study
6.1852825000000005,6.514159,sav,70%,0.859140850644779,glucose,1.0,This Study
6.1926268,6.5069612,sav,68%,0.859140850644779,glucose,1.0,This Study
6.2186319999999995,6.482492000000001,sav,60%,0.859140850644779,glucose,1.0,This Study
6.2456775,6.4543475,sav,50%,0.859140850644779,glucose,1.0,This Study
6.268831,6.431535,sav,40%,0.859140850644779,glucose,1.0,This Study
6.29051,6.4094435,sav,30%,0.859140850644779,glucose,1.0,This Study
6.310976,6.388584,sav,20%,0.859140850644779,glucose,1.0,This Study
6.3305855,6.369219,sav,10%,0.859140850644779,glucose,1.0,This Study
6.350045,6.350045,sav,median,0.859140850644779,glucose,1.0,This Study
6.67931575,7.4061825,sav,95%,0.8840892213949152,glucose,2.0,This Study
6.743237,7.3397725,sav,90%,0.8840892213949152,glucose,2.0,This Study
6.811342,7.268283,sav,80%,0.8840892213949152,glucose,2.0,This Study
6.8571125,7.221719,sav,70%,0.8840892213949152,glucose,2.0,This Study
6.8652568,7.213732800000001,sav,68%,0.8840892213949152,glucose,2.0,This Study
6.89409,7.186604,sav,60%,0.8840892213949152,glucose,2.0,This Study
6.9240675000000005,7.1554,sav,50%,0.8840892213949152,glucose,2.0,This Study
6.949738,7.130115,sav,40%,0.8840892213949152,glucose,2.0,This Study
6.97377,7.1056235,sav,30%,0.8840892213949152,glucose,2.0,This Study
6.996462,7.0825,sav,20%,0.8840892213949152,glucose,2.0,This Study
7.0181955,7.0610335,sav,10%,0.8840892213949152,glucose,2.0,This Study
7.039775000000001,7.039775000000001,sav,median,0.8840892213949152,glucose,2.0,This Study
5.780056,6.409052249999999,sav,95%,1.3028032663667155,glucoseCAA,2.0,This Study
5.835367,6.3515915,sav,90%,1.3028032663667155,glucoseCAA,2.0,This Study
5.894303,6.289723,sav,80%,1.3028032663667155,glucoseCAA,2.0,This Study
5.933914,6.2494274999999995,sav,70%,1.3028032663667155,glucoseCAA,2.0,This Study
5.9409583999999995,6.2425112,sav,68%,1.3028032663667155,glucoseCAA,2.0,This Study
5.96591,6.219043999999999,sav,60%,1.3028032663667155,glucoseCAA,2.0,This Study
5.9918475,6.1920375,sav,50%,1.3028032663667155,glucoseCAA,2.0,This Study
6.014061,6.170155,sav,40%,1.3028032663667155,glucoseCAA,2.0,This Study
6.03486,6.1489635,sav,30%,1.3028032663667155,glucoseCAA,2.0,This Study
6.054496,6.128954,sav,20%,1.3028032663667155,glucoseCAA,2.0,This Study
6.0733055,6.110379,sav,10%,1.3028032663667155,glucoseCAA,2.0,This Study
6.0919799999999995,6.0919799999999995,sav,median,1.3028032663667155,glucoseCAA,2.0,This Study
5.773116249999999,6.40136225,sav,95%,1.4771279192381863,glucoseCAA,1.0,This Study
5.828367,6.343971499999999,sav,90%,1.4771279192381863,glucoseCAA,1.0,This Study
5.887233,6.282173,sav,80%,1.4771279192381863,glucoseCAA,1.0,This Study
5.9267925,6.2419275,sav,70%,1.4771279192381863,glucoseCAA,1.0,This Study
5.9338284,6.2350212,sav,68%,1.4771279192381863,glucoseCAA,1.0,This Study
5.95875,6.211582,sav,60%,1.4771279192381863,glucoseCAA,1.0,This Study
5.9846575,6.1846075,sav,50%,1.4771279192381863,glucoseCAA,1.0,This Study
6.006850999999999,6.162755000000001,sav,40%,1.4771279192381863,glucoseCAA,1.0,This Study
6.02762,6.1415835,sav,30%,1.4771279192381863,glucoseCAA,1.0,This Study
6.047232,6.1216,sav,20%,1.4771279192381863,glucoseCAA,1.0,This Study
6.06602,6.1030435,sav,10%,1.4771279192381863,glucoseCAA,1.0,This Study
6.08467,6.08467,sav,median,1.4771279192381863,glucoseCAA,1.0,This Study
4.93754675,5.47487175,sav,95%,2.2690638773791805,LB,1.0,This Study
4.9848075000000005,5.425781499999999,sav,90%,2.2690638773791805,LB,1.0,This Study
5.035154,5.3729320000000005,sav,80%,2.2690638773791805,LB,1.0,This Study
5.068984,5.3385074999999995,sav,70%,2.2690638773791805,LB,1.0,This Study
5.0750068,5.3326080000000005,sav,68%,2.2690638773791805,LB,1.0,This Study
5.0963140000000005,5.3125539999999996,sav,60%,2.2690638773791805,LB,1.0,This Study
5.1184775,5.2894875,sav,50%,2.2690638773791805,LB,1.0,This Study
5.1374509999999995,5.270792,sav,40%,2.2690638773791805,LB,1.0,This Study
5.15522,5.25269,sav,30%,2.2690638773791805,LB,1.0,This Study
5.171996,5.2356,sav,20%,2.2690638773791805,LB,1.0,This Study
5.1880654999999996,5.219729,sav,10%,2.2690638773791805,LB,1.0,This Study
5.20401,5.20401,sav,median,2.2690638773791805,LB,1.0,This Study
3.9598575,4.3907815,sav,95%,2.272564591054877,LB,2.0,This Study
3.997758,4.351411499999999,sav,90%,2.272564591054877,LB,2.0,This Study
4.0381350000000005,4.309031,sav,80%,2.272564591054877,LB,2.0,This Study
4.0652655,4.281416,sav,70%,2.272564591054877,LB,2.0,This Study
4.0700968,4.276688,sav,68%,2.272564591054877,LB,2.0,This Study
4.087184,4.2606020000000004,sav,60%,2.272564591054877,LB,2.0,This Study
4.1049575,4.242105,sav,50%,2.272564591054877,LB,2.0,This Study
4.1201740000000004,4.227112,sav,40%,2.272564591054877,LB,2.0,This Study
4.13443,4.2125935,sav,30%,2.272564591054877,LB,2.0,This Study
4.147876,4.19889,sav,20%,2.272564591054877,LB,2.0,This Study
4.1607655,4.186159,sav,10%,2.272564591054877,LB,2.0,This Study
4.173555,4.173555,sav,median,2.272564591054877,LB,2.0,This Study
