strain,overexpression,inducer_conc,carbon_source,replicate,culture_od600nm,residual_od600nm,wash_od600nm,od555nm,od555nm_neg_control,culture_volume_mL,spec_conv_factor,adjusted_od600nm,adjusted_od555nm
wildtype,none,0,glycerol,1,0.464,0.008,0.010,0.099,0.020,1.5,0.625,0.275,0.079
wildtype,none,0,glycerol,2,0.481,0.009,0.011,0.108,0.020,1.5,0.625,0.284,0.088
wildtype,none,0,glycerol,3,0.502,0.009,0.010,0.107,0.020,1.5,0.625,0.298,0.087
wildtype,none,0,glucose,1,0.445,0.116,0.004,0.070,0.020,1.5,0.625,0.159,0.050
wildtype,none,0,glucose,2,0.423,0.115,0.003,0.067,0.020,1.5,0.625,0.147,0.047
wildtype,none,0,glucose,3,0.447,0.066,0.004,0.077,0.020,1.5,0.625,0.211,0.057
wildtype,none,0,glucoseCAA,1,0.475,0.051,0.006,0.089,0.020,1.5,0.625,0.242,0.069
wildtype,none,0,glucoseCAA,2,0.445,0.052,0.006,0.097,0.020,1.5,0.625,0.222,0.077
wildtype,none,0,glucoseCAA,3,0.423,0.060,0.118,0.066,0.020,1.5,0.625,0.126,0.046
wildtype,none,0,sorbitol,1,0.443,0.019,0.009,0.106,0.020,1.5,0.625,0.252,0.086
wildtype,none,0,sorbitol,2,0.485,0.016,0.011,0.103,0.020,1.5,0.625,0.280,0.083
wildtype,none,0,sorbitol,3,0.478,0.015,0.015,0.109,0.020,1.5,0.625,0.274,0.089
wildtype,none,0,acetate,1,0.487,0.012,0.021,0.108,0.020,1.5,0.625,0.278,0.088
wildtype,none,0,acetate,2,0.478,0.015,0.011,0.106,0.020,1.5,0.625,0.276,0.086
wildtype,none,0,acetate,3,0.464,0.012,0.012,0.110,0.020,1.5,0.625,0.270,0.090
wildtype,none,0,LB,1,0.215,0.001,0.008,0.057,0.020,1.5,0.625,0.128,0.037
wildtype,none,0,LB,2,0.214,0,0.005,0.055,0.020,1.5,0.625,0.130,0.035
wildtype,none,0,LB,3,0.227,0.001,0.006,0.055,0.020,1.5,0.625,0.137,0.035