vessel_type,dilution_factor,od600nm
25mm tube,0,1.892
25mm tube,2,1.292
25mm tube,4,0.769
25mm tube,8,0.422
25mm tube,16,0.218
25mm tube,32,0.107
25mm tube,64,0.054
25mm tube,128,0.028
16mm tube,0,1.305
16mm tube,2,0.849
16mm tube,4,0.481
16mm tube,8,0.256
16mm tube,16,0.133
16mm tube,32,0.066
16mm tube,64,0.041
16mm tube,128,0.020
20mm tube,0,1.570
20mm tube,2,1.017
20mm tube,4,0.599
20mm tube,8,0.324
20mm tube,16,0.165
20mm tube,32,0.087
20mm tube,64,0.045
20mm tube,128,0.024
1cm cuvette,0,1.265
1cm cuvette,2,0.753
1cm cuvette,4,0.416
1cm cuvette,8,0.217
1cm cuvette,16,0.118
1cm cuvette,32,0.063
1cm cuvette,64,0.038
1cm cuvette,128,0.024